City,Address,Category,BuildingType,NewAlterationAddition,Valuation,PermitHolder,Issuance,County
Cedar Rapids,1703 ASPEN CIR SE,Residential,Single Family,New,215940,,2-Jun-16,Linn
Cedar Rapids,1724 16TH AVE SW,Commercial,Commercial,alteration,174050,,12-Jul-16,Linn
Cedar Rapids,1734 BOBCAT DR NW,Residential,Single Family,New,77301,,22-Apr-16,Linn
Cedar Rapids,1735 EDGEWOOD DR NW,Commercial,Commercial,Alteration,11300,,3-May-16,Linn
Cedar Rapids,1764 34TH ST SE,Residential,Single Family,New,128584,,28-Apr-16,Linn
Cedar Rapids,1766 MALLORY ST SW,Residential,Single Family,New,57860,,19-Feb-16,Linn
Cedar Rapids,177 RYECROFT  SE,Residential,Single Family,Alteration,55000,,29-Jun-16,Linn
Cedar Rapids,1770 MALLORY ST SW,Residential,Single Family,New,57860,,29-Feb-16,Linn
Cedar Rapids,1802 ROSEHILL DR SW,Residential,Multi Family,New,145810,,20-Jul-16,Linn
Cedar Rapids,1808 ROSEHILL DR SW,Residential,Multi Family,New,161192,,15-Apr-16,Linn
Cedar Rapids,1814 ROSEHILL DR SW,Residential,Multi Family,New,165602,,16-Feb-16,Linn
Cedar Rapids,1815 ROSEHILL DR SW,Residential,Single Family,New,139057,,23-May-16,Linn
Cedar Rapids,1819 ROSEHILL DR SW,Residential,Multi Family,New,141139,,8-Jun-16,Linn
Cedar Rapids,1839 ROSEHILL DR SW,Residential,Multi Family,New,146709,3 BEDROOM 2 STORY ORIGINAL W/ SUNROOM,3-Jun-16,Linn
Cedar Rapids,1900 51ST ST NE,Commercial,Commercial,Addition,1363244,DENTAL PROSTHETIC SERVICES,8-Mar-16,Linn
Cedar Rapids,1900 51ST ST NE,Commercial,Commercial,Alteration,200000,DENTAL PROSTHETIC SERVICES,31-May-16,Linn
Cedar Rapids,1900 51ST ST NE,Commercial,Commercial,Alteration,64000,DENTAL PROSTHETIC SERVICES,2-Feb-16,Linn
Cedar Rapids,1909 SHADY GROVE RD SW,Residential,Single Family,New,84080,,26-Jul-16,Linn
Cedar Rapids,1911 E AVE NW,Commercial,Commercial,Alteration,129000,,15-Jul-16,Linn
Cedar Rapids,1918 SHADY GROVE RD SW,Residential,Single Family,New,94362,YUMA,19-Apr-16,Linn
Cedar Rapids,1926 PIPPIN HILL DR NW,Residential,Single Family,New,124764,,9-Jun-16,Linn
Cedar Rapids,1930 HUNTSBORO LN SW,Residential,Single Family,New,132640,WINDSOR 2,16-Feb-16,Linn
Cedar Rapids,200 1ST ST SE,Commercial,Commercial,Alteration,210000,ALLIANT - 6TH FLOOR REMODEL,1-Apr-16,Linn
Cedar Rapids,200 3RD AVE SW,Commercial,Commercial,Alteration,3334000,Village Lofts,23-Feb-16,Linn
Cedar Rapids,200 3RD AVE SW,Residential,Multi Family,Alteration,150000,NANKE RESIDENCE STE 400,7-Apr-16,Linn
